c,f,l,r,id
Pelé,Edson,Arantes Nascimento,98,237067
,Diego,Maradona,97,190042
Ronaldo,Ronaldo Luís,Nazário de Lima,96,37576
Pelé,Edson,Arantes Nascimento,95,237068
,Diego,Maradona,95,237074
Cristiano Ronaldo,C. Ronaldo,dos Santos Aveiro,94,20801
Ronaldinho,Ronaldo,de Assis Moreira,94,28130
,Lionel,Messi,94,158023
,Johan,Cruyff,94,190045
Ronaldo,Ronaldo Luís,Nazário de Lima,94,237064
,Lev,Yashin,94,238380
,Paolo,Maldini,94,238439
,Roberto,Baggio,93,1114
,Thierry,Henry,93,1625
,Franco,Baresi,93,166906
,Marco,van Basten,93,192181
,Ruud,Gullit,93,214100
,George,Best,93,226764
,Lothar,Matthäus,93,238435
Eusébio,Eusébio,da Silva Ferreira,93,242519
,Ryan,Giggs,92,241
,Javier,Zanetti,92,1041
,Alessandro,Nesta,92,1088
,Fabio,Cannavaro,92,1183
Rivaldo,Rivaldo Vítor,Borba Ferreira,92,4231
,Hristo,Stoichkov,92,4833
Luís Figo,Luís Filipe,Madeira Caeiro Figo,92,5589
,Ruud,van Nistelrooy,92,10264
Raúl,Raúl,González Blanco,92,45661
,Bobby,Moore,92,190044
Neymar Jr,Neymar,da Silva Santos Jr.,92,190871
Emilio Butragueño,Emilio,Butragueño Santos,92,191695
,Gary,Lineker,92,214267
,Alessandro,Del Piero,92,238382
Carles Puyol,Carles,Puyol Saforcada,92,238384
,Dennis,Bergkamp,92,238388
,Peter,Schmeichel,92,238428
,Paolo,Maldini,92,238440
,Alan,Shearer,91,51
,Paul,Scholes,91,246
,Marcel,Desailly,91,1116
,Clarence,Seedorf,91,1256
,Robert,Pirès,91,1605
,Michael,Ballack,91,3647
,Michael,Owen,91,5419
,David,Trezeguet,91,5984
,Pavel,Nedvěd,91,6235
,Andriy,Shevchenko,91,13128
,Steven,Gerrard,91,13743
,Edwin,van der Sar,91,51539
Sergio Ramos,Sergio,Ramos García,91,155862
Fernando Hierro,Fernando,Hierro Ruiz,91,161840
,Gheorghe,Hagi,91,166124
,Luis,Suárez,91,176580
,Luka,Modrić,91,177003
,Eden,Hazard,91,183277
Pelé,Edson,Arantes Nascimento,91,190043
Sócrates,Sócrates,Vieira de Oliveira,91,190046
,Lothar,Matthäus,91,191189
,Kevin,De Bruyne,91,192985
De Gea,David,De Gea Quintana,91,193080
,Michael,Laudrup,91,222000
,Diego,Maradona,91,237073
,Lev,Yashin,91,238193
Ronaldinho,Ronaldo,de Assis Moreira,91,238395
,Patrick,Kluivert,91,238424
,Patrick,Vieira,91,238427
Roberto Carlos,Roberto Carlos,da Silva Rocha,91,238430
,Laurent,Blanc,91,238443
,Marco,van Basten,91,239055
,Franco,Baresi,91,239528
,Miroslav,Klose,91,242510
Eusébio,Eusébio,da Silva Ferreira,91,242520
,Johan,Cruyff,91,242522
,Roberto,Baggio,91,243078
,Roy,Keane,90,240
,Jay-Jay,Okocha,90,570
,Jens,Lehmann,90,805
Rui Costa,Rui Manuel,César Costa,90,1025
,Alessandro,Del Piero,90,1075
,Filippo,Inzaghi,90,1198
,Gianfranco,Zola,90,1201
,Emmanuel,Petit,90,1620
,Claude,Makélélé,90,1668
,Dennis,Bergkamp,90,4000
,Frank,Lampard,90,5471
,Jari,Litmanen,90,5673
,Rio,Ferdinand,90,7289
,Hernán,Crespo,90,7512
Deco,Anderson Luís,de Souza,90,53769
,Luis,Hernández,90,156353
,Manuel,Neuer,90,167495
,Diego,Godín,90,182493
,Toni,Kroos,90,182521
,Robert,Lewandowski,90,188545
,Peter,Schmeichel,90,190053
,Thibaut,Courtois,90,192119
,Jan,Oblak,90,200389
,Frank,Rijkaard,90,214098
Ronaldo,Ronaldo Luís,Nazário de Lima,90,237063
,Thierry,Henry,90,237069
Carles Puyol,Carles,Puyol Saforcada,90,238386
,Ruud,Gullit,90,238434
,George,Best,90,238438
,Marc,Overmars,90,238441
,Alessandro,Nesta,90,239062
Luís Figo,Luís Filipe,Madeira Caeiro Figo,90,239080
,Henrik,Larsson,90,239261
,Christian,Vieri,90,239519
,Ruud,van Nistelrooy,90,239532
,Hristo,Stoichkov,90,239542
Emilio Butragueño,Emilio,Butragueño Santos,90,239604
Rivaldo,Rivaldo Vítor,Borba Ferreira,90,242950
,Juan Sebastián,Verón,90,243027
,Giorgio,Chiellini,89,138956
,Sergio,Agüero,89,153079
David Silva,David Josué,Jiménez Silva,89,168542
,Mats,Hummels,89,178603
,Edinson,Cavani,89,179813
Eusébio,Eusébio,da Silva Ferreira,89,190049
,Marc-André,ter Stegen,89,192448
,Antoine,Griezmann,89,194765
Isco,Francisco Román,Alarcón Suárez,89,197781
,Harry,Kane,89,202126
,Paulo,Dybala,89,211110
,N'Golo,Kanté,89,215914
,Lev,Yashin,89,238381
,Laurent,Blanc,89,238444
Ronaldinho,Ronaldo,de Assis Moreira,89,238706
,Marco,van Basten,89,239054
,Gheorghe,Hagi,89,239057
,Michael,Laudrup,89,239059
,Edwin,van der Sar,89,239061
,Fabio,Cannavaro,89,239065
Fernando Hierro,Fernando,Hierro Ruiz,89,239068
,Ryan,Giggs,89,239521
,Gary,Lineker,89,239522
,Bobby,Moore,89,239531
,Paul,Scholes,89,239537
,Alan,Shearer,89,239598
,Pavel,Nedvěd,89,239602
,Miroslav,Klose,89,242511
Sócrates,Sócrates,Vieira de Oliveira,89,242518
,Johan,Cruyff,89,242521
,David,Trezeguet,89,242860
,Steven,Gerrard,89,242931
,Sol,Campbell,89,243029
,Gennaro,Gattuso,89,243030
,Roberto,Baggio,89,243079
,Michael,Ballack,89,243784
,Christian,Vieri,88,942
Roberto Carlos,Roberto Carlos,da Silva Rocha,88,1040
,Paolo,Maldini,88,1109
,Gianluigi,Buffon,88,1179
,Patrick,Vieira,88,1419
,Marc,Overmars,88,5681
,Juan Sebastián,Verón,88,7518
,Samir,Handanovič,88,162835
Thiago Silva,Thiago Emiliano,da Silva,88,164240
,Gonzalo,Higuaín,88,167664
,Hugo,Lloris,88,167948
,Gareth,Bale,88,173731
Marcelo,Marcelo,Vieira da Silva,88,176676
Coutinho,Philippe,Coutinho Correia,88,189242
Sergio Busquets,Sergio,Busquets Burgos,88,189511
,Christian,Eriksen,88,190460
,Paul,Pogba,88,195864
,Lorenzo,Insigne,88,198219
,James,Rodríguez,88,198710
Casemiro,Carlos Henrique,Venancio Casimiro,88,200145
,Mohamed,Salah,88,209331
,Rio,Ferdinand,88,237066
,Emmanuel,Petit,88,238414
,Patrick,Kluivert,88,238425
Rui Costa,Rui Manuel,César Costa,88,238431
,Lothar,Matthäus,88,238436
,George,Best,88,238437
,Alessandro,Nesta,88,239063
,Robert,Pirès,88,239069
Luís Figo,Luís Filipe,Madeira Caeiro Figo,88,239081
,Michael,Owen,88,239082
,Jens,Lehmann,88,239113
,Jari,Litmanen,88,239114
,Andriy,Shevchenko,88,239420
,Frank,Rijkaard,88,239421
,Javier,Zanetti,88,239517
,Marcel,Desailly,88,239526
,Franco,Baresi,88,239527
,Roy,Keane,88,239600
,Hidetoshi,Nakata,88,242625
,Clarence,Seedorf,88,242927
,Frank,Lampard,88,242930
Raúl,Raúl,González Blanco,88,242939
Iniesta,Andrés,Iniesta Luján,87,41
,Gennaro,Gattuso,87,4202
,Miroslav,Klose,87,11141
,Henrik,Larsson,87,52241
Piqué,Gerard,Piqué Bernabeu,87,152729
,Ivan,Rakitić,87,168651
,Marek,Hamšík,87,171877
,Jan,Vertonghen,87,172871
,Dries,Mertens,87,175943
,Alexis,Sánchez,87,184941
,Pierre-Emerick,Aubameyang,87,188567
Jordi Alba,Jordi,Alba Ramos,87,189332
,Ciro,Immobile,87,192387
,Romelu,Lukaku,87,192505
,Keylor,Navas,87,193041
,Kalidou,Koulibaly,87,201024
,Mauro,Icardi,87,201399
,Samuel,Umtiti,87,205600
,Kylian,Mbappé,87,231747
,Thierry,Henry,87,237062
,Alessandro,Del Piero,87,238383
,Dennis,Bergkamp,87,238387
,Hernán,Crespo,87,238418
,Luis,Hernández,87,238420
Deco,Anderson Luís,de Souza,87,239026
,Edwin,van der Sar,87,239060
,Fabio,Cannavaro,87,239064
,Filippo,Inzaghi,87,239071
,Jay-Jay,Okocha,87,239109
,Gianfranco,Zola,87,239111
,Javier,Zanetti,87,239516
,Ryan,Giggs,87,239520
,Gary,Lineker,87,239524
,Marcel,Desailly,87,239525
,Bobby,Moore,87,239530
,Paul,Scholes,87,239539
,Hristo,Stoichkov,87,239541
,Alan,Shearer,87,239599
Emilio Butragueño,Emilio,Butragueño Santos,87,239603
Sócrates,Sócrates,Vieira de Oliveira,87,242517
,Claude,Makélélé,87,242859
Rivaldo,Rivaldo Vítor,Borba Ferreira,87,242951
,Sol,Campbell,87,243028
,Patrick,Kluivert,86,5680
Carles Puyol,Carles,Puyol Saforcada,86,13038
,Hidetoshi,Nakata,86,13383
Fernandinho,Fernando Luiz,Rosa,86,135507
Naldo,Ronaldo,Aparecido Rodrigues,86,171919
,Mesut,Özil,86,176635
,Medhi,Benatia,86,177509
,Miralem,Pjanić,86,180206
,Ivan,Perišić,86,181458
,Jérôme,Boateng,86,183907
,Leonardo,Bonucci,86,184344
Azpilicueta,César,Azpilicueta Tanco,86,184432
Thiago,Thiago,Alcântara,86,189509
Parejo,Daniel,Parejo Muñoz,86,189513
,Thomas,Müller,86,189596
Douglas Costa,Douglas,Costa de Souza,86,190483
Alex Sandro,Alex Sandro,Lobo Silva,86,191043
,Nemanja,Matić,86,191202
,Nicolás,Otamendi,86,192366
,Marco,Verratti,86,199556
,Raphaël,Varane,86,201535
Roberto Firmino,Roberto Firmino,Barbosa de Oliveira,86,201942
,Sadio,Mané,86,208722
Ederson,Ederson,Santana de Moraes,86,210257
,Leroy,Sané,86,222492
Roberto Carlos,Roberto Carlos,da Silva Rocha,86,237071
,Juan Sebastián,Verón,86,237603
,Patrick,Vieira,86,238426
,Peter,Schmeichel,86,238429
,Ruud,Gullit,86,238433
,Marc,Overmars,86,238442
Fernando Hierro,Fernando,Hierro Ruiz,86,239067
,Michael,Owen,86,239083
,Henrik,Larsson,86,239262
,Andriy,Shevchenko,86,239419
,Frank,Rijkaard,86,239422
,Christian,Vieri,86,239518
,Ruud,van Nistelrooy,86,239533
,Pavel,Nedvěd,86,239535
,Roy,Keane,86,239601
,David,Trezeguet,86,242861
,Frank,Lampard,86,242929
,Steven,Gerrard,86,242932
Raúl,Raúl,González Blanco,86,242940
,Michael,Ballack,86,243783
,Sol,Campbell,85,388
,Arjen,Robben,85,9014
,Zlatan,Ibrahimović,85,41236
Pepe,Képler Laveran,Lima Ferreira,85,120533
,Vincent,Kompany,85,139720
,Franck,Ribéry,85,156616
Filipe Luís,Filipe Luís,Kasmirski,85,164169
Falcao,Radamel Falcao,García Zarate,85,167397
Miranda,João Miranda,de Souza Filho,85,168609
,Blaise,Matuidi,85,170890
,Radja,Nainggolan,85,178518
Diego Costa,Diego,da Silva Costa,85,179844
,Sami,Khedira,85,179846
,Edin,Džeko,85,180930
,Arturo,Vidal,85,181872
,Toby,Alderweireld,85,184087
,Yacine,Brahimi,85,184267
Paulinho,José Paulo,Bezerra M. Júnior,85,187961
,Marco,Reus,85,188350
Iago Aspas,Iago,Aspas Juncal,85,192629
,Kostas,Manolas,85,192774
